industry,industry_uuid,category,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled,material_1,material_2,material_3,material_4,material_5,material_6,material_7,labor_rate_1,labor_rate_2
Automotive,ind_0441f386967a4419838e974ef275e010,Body,olit_c54118f294d84a7cb3e0ac8e8de29584,0.5-Install Windshield,"Professional installation of a new windshield for your golf cart. Ensures clear visibility, better protection from the elements, and a safer ride. Expert fitting prevents leaks and enhances the overall appearance of your vehicle.

Includes:
-Windshield
-Professional installation",$299.00,$125.96,true,Each,"",false,name: Windshield | quantity: 1.0 | part_number: Steeleng,name: CC Payment Processing | quantity: 299.0 | part_number: ,"","","","","",name: R&R Base Technician Rate | number_of_hours: 0.5
Automotive,ind_0441f386967a4419838e974ef275e010,Wheels & Tires,olit_a9e047d783b24597a80368fb83cf9038,0.5-Tire Replacement Service,"Stay on the move with our Tire Replacement Service! Our technicians  replace worn tires with high-quality options suited for your golf cart. Fast, professional installation, including tire inspection and old tire disposal. Fresh and ready for your next adventure!

-Actual mounting cost is separate and per tire. 

*Includes professional service and all materials necessary",$55.00,$20.00,true,Each,"",false,"","","","","","","",name: R&R Base Technician Rate | number_of_hours: 0.5
Automotive,ind_0441f386967a4419838e974ef275e010,Wheels & Tires,olit_e4100588d76040dd8fa544bede395b4f,Tire Mount (per tire),"Our Tire Mounting Service ensures your tires are securely fitted to your wheels, inflated, and ready for smooth, safe rides on any terrain.

*Includes professional service and all materials necessary
",$35.00,$26.50,true,Each,"",false,"","","","","","",""
Automotive,ind_0441f386967a4419838e974ef275e010,Wheels & Tires,olit_26d6412fbf6e4e3fafbe2056abaf78b0,0.25-Tire Rotation,"Give your tires some love with our Tire Rotation service—even out the wear, keep things rolling smoothly, and ride like you’re on cloud nine!

*Includes professional service and all materials necessary
",$49.00,$11.96,true,Each,"",false,name: CC Payment Processing | quantity: 49.0 | part_number: ,"","","","","","",name: Level 2 Technician Rate | number_of_hours: 0.25
Automotive,ind_0441f386967a4419838e974ef275e010,Steering and Suspension ,olit_094cbbdf890444f68ef0ac3c9d999aa5,1.0-Perform Toe Adjustment ,"Our Toe Adjustment service fine-tunes your golf cart's alignment, ensuring your wheels point in the right direction and your steering wheel is straight for smoother steering and better tire wear.

*Includes professional service and all materials necessary
",$129.00,$45.16,true,"","",false,name: CC Payment Processing | quantity: 129.0 | part_number: ,"","","","","","",name: Level 2 Technician Rate | number_of_hours: 1.0
Automotive,ind_0441f386967a4419838e974ef275e010,Bushings,olit_8a44903a857f4a41805480696c9beacb,"1.5-Double A-Arm lifted full front bushing Replacement, Club Car","Keep your ride smooth and steady with our Double A-Arm lifted full front bushing Replacement—because who wants a bumpy, noisy ride when you could be gliding?

Why You’ll Love It:

-Smoother Rides—no more squeaks and bumps
-Improved Stability—perfect for off-road adventures
-Say Goodbye to Shaky Rides—and hello to comfort!

Includes:
-Full front bushing kit
-Professional installation",$299.00,$128.53,true,Each,"",false,"name: Front Bushings, CC A-Arm Lift Kit, Black | quantity: 1.0 | part_number: 16-045-BLK Golf Carts Modified",name: CC Payment Processing | quantity: 299.0 | part_number: ,"","","","","",name: Level 2 Technician Rate | number_of_hours: 1.5
Automotive,ind_0441f386967a4419838e974ef275e010,Steering and Suspension ,olit_41c69d78e51f405cb0b232e910ef8653,"0.75-Replace Wheel Hub Bearings, Club Car (both sides)","Ensure a smooth, safe ride with replacement of both wheel hub bearings on your Club Car. This service reduces noise, improves handling, and prevents costly damage, keeping your vehicle reliable and extending the life of your wheels.

Includes:
-Wheel Hub Bearings (2)
-Professional installation",$199.00,$84.95,true,Each,"",false,"name: Wheel bearings and hubs, Club Car (both sides) | quantity: 1.0 | part_number: STE-00081-2   10l0l",name: CC Payment Processing | quantity: 199.0 | part_number: ,"","","","","",name: Level 2 Technician Rate | number_of_hours: 0.75
Automotive,ind_0441f386967a4419838e974ef275e010,General,olit_53ac4c292ea740b28583ecad1ab47b1a,0.25 - 7-Point Golf Cart Safety Inspection,"Ensure your golf cart is in top shape with our 7-Point Golf Cart  Safety Inspection, included FREE with every service! Our expert technicians provide thorough care using professional-grade tools to ensure your cart is running smoothly, safely, and reliably.  


What's Included:  

-Inspect wires, cables and terminals
-Inspect batteries for distilled water levels
-inspect lights and horn (if applicable)
-inspect tires for inflation, tread depth and uneven wear 
-Inspect steering and suspension system
-Inspect drivetrain (axle & motor)
-Inspect brakes for proper operation",$0.00,$10.00,false,Each,"",false,"","","","","","","",name: R&R Base Technician Rate | number_of_hours: 0.25
Automotive,ind_0441f386967a4419838e974ef275e010,Batteries & Cables,olit_417ce101ea174f778a43f8beb408cf1b,0.1-Individual Battery Cable/Terminal Set Replacement,"Durable, High-Quality Cables and Corrosion-Resistant Lugs for long-lasting performance!

Includes:
-Terminals/cable
-Professional installation",$25.00,$8.00,true,Each,"",false,"name: Battery Cable, 4ga.  | quantity: 1.0 | part_number: ",name: CC Payment Processing | quantity: 25.0 | part_number: ,"","","","","",name: Level 2 Technician Rate | number_of_hours: 0.1
Automotive,ind_0441f386967a4419838e974ef275e010,Batteries & Cables,olit_1bbc00d38b2e462eb42c9944d03a2bff,"1.5-Complete Battery Replacement, 8V","Crown batteries are well-regarded for their durability, performance, and sustainability, often ranking at the top alongside competitors like Trojan. They're particularly noted in the golf cart, industrial, and solar energy markets for their low maintenance and high-quality construction. 

This product is accompanied by an 18-month free replacement warranty. Additionally, there is a core charge of $20 per battery.

Includes:
-Six 8 volt batteries
-Professional installation",$1399.00,$757.66,true,Each,"",false,"name: Battery, 8-volt | quantity: 6.0 | part_number: American Battery Supply",name: CC Payment Processing | quantity: 1399.0 | part_number: ,"","","","","",name: Level 2 Technician Rate | number_of_hours: 1.5
